Req,PO Number,Order Date,Status,Transmission Status,Unanswered Comments,Items,Total,Currency
24823,8000016073,02/27/20,Issued,Sent via Email,false,333 Each of (Grenoble) - Forfait vaisselle + nappage,173.16,EUR
24819,8000016072,02/27/20,Issued,Sent via Email,false,1 Each of PLONGE RESTAURANT S2,756,EUR
24825,8000016071,02/27/20,Issued,Sent via Email,false,345 Each of (Grenoble) - Forfait vaisselle + nappage,179.4,EUR
25629,8000016070,02/27/20,Issued,Sent via Email,false,5 Each of C60 - dispositif de condamnation STI - lot de 2,93.1,EUR
25090,8000016069,02/27/20,Issued,Sent via Email,false,"28 Metre of TUBE ECOSHAPE D28L LE METRE suivant devis 29001788,10 Each of COUPE DROITE  SECTION 30,20 Each of CACHE D28 ECOSHAPE,20 Each of ELEMENT DE JONCTION 90°,20 Each of CONNECTEUR EN CROIX",325.32,EUR
24369,8000016068,02/27/20,Issued,Sent via Email,false,"1 Each of Fluide caloporteur MB111E,1 Each of SDI FEE",431.5,EUR
24986,8000016067,02/27/20,Issued,Sent via Email,false,"1 Each of Fourniture et pose d'un Film de protection,1 Each of SDI FEE",531,EUR
24841,8000016066,02/27/20,Issued,Sent via Email,false,"1 Each of Protection mur uniquement poste 1 test,1 Each of SDI FEE",386,EUR
22385,8200016065,02/27/20,Issued,Sent via Email,false,52.5 Hours of SOW - Atos On-Site Services Support Market: Canada - Regular Hours,2180.33,USD
23237,8000016064,02/27/20,Issued,Sent via Email,false,7 Each of (Grenoble) - Pause cafe ou the avec viennoiseries,22.26,EUR
22813,8000016063,02/27/20,Issued,Sent via Email,false,"3 Each of VISIERE VIZIR A015AA00,3 Each of CASQUE VERTEX BLANC A010AA00",237.45,EUR
24970,8000016062,02/27/20,Issued,Sent via Email,false,"1 Each of 403710_Gestion de Comptes pour Responsables de Clientèle Distributeurs,1 Each of SDI FEE",4080,EUR
24876,8000016061,02/27/20,Issued,Sent via Email,false,1 Each of 403859_COACHING INDIVIDUEL_LAURENCE PIEROTTI en accord avec le devis joint,6510,EUR
24870,8000016060,02/27/20,Issued,Sent via Email,false,"1 Each of UIMM Formation électricité - Module 1 : connaissances générales; fournisseur Afpi; ,1 Each of SDI FEE",1836,EUR
25308,8000016059,02/27/20,Issued,Sent via Email,false,1 Each of Lot de 200 cartes de visite,16.9,EUR
25687,8000016058,02/27/20,Issued,Sent via Email,false,"5 Each of (ST)Cahier spirale Oxford Notebook A4+ - 160 pages - quadrillé,1 Each of (ST)Café Miko Diamant Noir - paquet de 36 doses filtre,1 Each of (ST)Assortiment de biscuits Miko Furio - boîte de 125",100.86,EUR
25593,8000016057,02/27/20,Issued,Sent via Email,false,"1 Each of Eclairage led sur zone magasin pièces de rechange,1 Each of SDI FEE",1966.05,EUR
24463,8000016056,02/27/20,Issued,Sent via Email,false,1 Each of Facom Cliquet,22.05,EUR
25803,8000016055,02/27/20,Issued,Sent via Email,false,"1 Each of Wireless Mobile Mouse 4000 Souris sans,1 Each of FRAIS DE PORT",33,EUR
24636,8300016054,02/27/20,Issued,Sent via Email,false,1 Each of Lot de 100 cartes de visite,9.3,EUR
22449,8300016053,02/27/20,Issued,Sent via Email,false,"1 Each of (Grenoble) - Plateau Canadien + 1 eau 50cl,1 Each of (Grenoble) - Plateau Napolitain + 1 eau 50cl,1 Each of (Grenoble) - Plateau Basque + 1 eau 50cl",66.39,EUR
24587,8000016052,02/27/20,Issued,Sent via Email,false,"1 Each of Cle USB, capacite 32 Go neon bleu, coule,1 Each of Cle USB, capacite 32 Go neon orange, cou,1 Each of Cle USB, capacite 32 Go lilas, design Fi,1 Each of FRAIS DE PORT",28.62,EUR
24092,8000016051,02/27/20,Issued,Sent via Email,false,"1 Each of Escabeau Chrome, Hauteur d'acces: 2.5 m, Nb de marches (plate-forme incluse): 2, Marche largeur: 380 mm",44.28,EUR
25836,8000016050,02/27/20,Issued,Sent via Email,false,8 Each of (Grenoble) - Cafe,6.16,EUR
22965,8000016049,02/27/20,Issued,Sent via Email,false,"12 Each of (Paris – Le Hive) REPAS LUNCH (SALON CLUB) MENU GOURMAND,1 Each of (Paris – Le Hive) VIN DU MOIS 75CL,1 Each of (Paris – Le Hive) Bourgogne Hautes Côtes de Beaune AOC Berger Rives 75 cl - rouge,2 Each of (Paris – Le Hive) EAU GAZEUSE VERRE CONSIGNE 100 CL SERVIE AU SALON CLUB,2 Each of (Paris – Le Hive) EAU PLATE VERRE CONSIGNE 100 CL SERVIE AU SALON CLUB",442.59,EUR
25834,8000016048,02/27/20,Issued,Sent via Email,false,8 Each of (Grenoble) - Pause cafe ou the avec viennoiseries,25.44,EUR
25832,8000016047,02/27/20,Issued,Sent via Email,false,8 Each of (Grenoble) - Cafe,6.16,EUR
25828,8000016046,02/27/20,Issued,Sent via Email,false,8 Each of (Grenoble) - Pause cafe ou the avec viennoiseries,25.44,EUR
25695,8000016045,02/27/20,Issued,Sent via Email,false,"40 Each of (Grenoble) - Cafe,2 Each of (Grenoble) - Jus d orange 1L",35.12,EUR
20246,8000016044,02/27/20,Issued,Sent via Email,false,1 Each of Devis № 2901.1.115 / Rangement salle de battement.,4400,EUR
25306,8300016043,02/27/20,Issued,Sent via Email,false,1 Lump Sum of Travel Expenses-0220-NVN-Num TA_CTR_006011_01_04,10744.35,EUR
21194,8000016042,02/27/20,Issued,Sent via Email,false,"1 Each of echange charge ESA50,1 Each of ECHANGE CHARGE ESP50AF/ESP50CF,1 Each of FRAIS TRANSPORT",1392.82,EUR
15441,8000016041,02/27/20,Issued,Sent via Email,false,50 Each of TUYAU PVC TRANSPARENT NOBEL,191.5,EUR
14465,8000016040,02/27/20,Issued,Sent via Email,false,800 Each of Production et fourniture de pièce 0362914 ,1192,EUR
12986,8000016039,02/27/20,Issued,Sent via Email,false,5 Each of POLYCARBONATE INCOLORE,593.35,EUR
25216,8000016038,02/27/20,Issued,Sent via Email,false,1 Each of Remplacement vitrage circuits Suivant votre devis N° 57-2020,769,EUR
19719,8000016037,02/27/20,Issued,Sent via Email,false,"1 Each of Capex - 15% reunion lancement,1 Each of Capex - 15% fondations,1 Each of Capex - 5% remise dossier techniques",228874.45,EUR
25276,8000016036,02/27/20,Issued,Sent via Email,false,1 Each of LASER WELDING AND REWORKING OF 4 INSERTS,440,EUR
24665,8000016035,02/27/20,Issued,Sent via Email,false,212 Each of tickets restaurant,1918.6,EUR
25165,8000016034,02/27/20,Issued,Sent via Email,false,"2 Bag of Maillon de chaînes à rouleaux Witra 06B-1,en Acier,1 Each of Pince circlip, RS PRO, taille 3 → 10 mm 125 mm,1 Each of Pince circlip, Knipex 46 11 A0, taille 3 → 10 mm 140 mm",26.55,EUR
24630,8000016033,02/27/20,Issued,Sent via Email,false,"1 Each of (Carros) - Pause matin 5,1 Each of (Carros) - Pause matin 4,5 Each of (Carros) - EAU 0,5 l",12.36,EUR
14879,8000016032,02/27/20,Issued,Sent via Email,false,"1 Each of Lot de 100 cartes de visite,1 Each of Lot de 100 cartes de visite",18.6,EUR
24943,8000016031,02/27/20,Issued,Sent via Email,false,1 Each of manipulateur 2 AXES NUMERIQUES SYSTEME WEISS,7233,EUR
25257,8000016030,02/27/20,Issued,Sent via Email,false,"20 Each of Cartouche fusible Littelfuse, 1A, 5 x 20mm, Type F, 250V c.a.,5 Each of Roulement à billes étanche à Rainure profonde, ø int. 15mm, ø ext. 32mm, larg. 9mm,2 Reel of Tuyau à air RS PRO, 30m Clair, en Polyuréthane, Diam.ext 6mm,1 Reel of Tuyau à air RS PRO, 30m Clair, en Polyuréthane, Diam.ext 8mm,1 Package of Raccords pneumatiques de cloison Connecteur de traversée de cloison, Connection A 8mm, B 8mm,3 Package of Vanne pneumatique, série 7910,2 Bag of Raccord pneumatique coudé Festo, QS, R 3/8 Mâle, 12 mm Push-in,3 Package of Fixation à boulon expansible pour cloisons creuses Rawl Fixings Acier, diamètre 10mm, longueur 40mm",407.17,EUR
25449,8000016029,02/27/20,Issued,Sent via Email,false,"2 Each of Manille lyre a axe visse Crosby- Force 1000 a 25000 kg, CMU: 4750 kg, Coefficient de securite: 6,1 Each of Poulie ouvrante, CMU: 2000 kg, Poids: 5.8 kg, Pour cable O maxi: 12 mm, Type: Ouvrante, Largeur: 185 mm",230.07,EUR
25516,8000016028,02/27/20,Issued,Sent via Email,false,"3 Each of Pied à coulisse 150mm, Mitutoyo, Numérique, Impérial et Métrique",322.33,EUR
24782,8000016027,02/27/20,Issued,Sent via Email,false,1 Each of Mousses de rangement découpées sur mesure,170.78,EUR
25666,8000016026,02/27/20,Issued,Sent via Email,false,"1 Each of COFFRET VIS AUTOPERCEUSES,1 Each of COFFRET VIS FHC TETE FRAISEE 6PANS CREUX ACIER ZING (X1500),1 Each of COFFRET VIS POUR AGGLOMERE TF A2 AVEC EMBOUTS - 1660 PIECES",271.25,EUR
25706,8300016025,02/27/20,Issued,Sent via Email,false,15 Each of SETBT Project 12/19 MPG num PAPS 'TA_CTR_007318_01_01. ,11100,EUR
25367,8000016024,02/27/20,Issued,Sent via Email,false,5 Each of DISTRIBUTEUR P2E-KS32C1 PARKER Distributeurs à commande électrique,182.35,EUR
25114,8000016023,02/27/20,Issued,Sent via Email,false,1 Each of demande ,3000,EUR
25264,8000016022,02/27/20,Issued,Sent via Email,false,"1 Each of StarTech.com Support de bureau pour ecra,1 Each of CORDON HDMI Standard 2m 127761",98.52,EUR
25062,8000016021,02/27/20,Issued,Sent via Email,false,52-page brochure,352,EUR
24652,8000016020,02/27/20,Issued,Sent via Email,false,1 Each of Prestation métrologie - Europe Qualité,477.65,EUR
25392,8000016019,02/27/20,Issued,Sent via Email,false,1 Each of OXYMETRE DE POULS Professionnel,89,EUR
17071,8000016018,02/27/20,Issued,Sent via Email,false,"1 Pair of PR CHAUSS EXALTER JALAS 9538 EASY RO, 44,1 Pair of PR CHAUSS FOOTY S1P 8962, 40,1 Pair of CHAUSSURE FEMME SALSA NOIR/VIOLET S1, 41",189.95,EUR
20156,8000016017,02/27/20,Issued,Sent via Email,false,"20 Each of Magnet point de travail (Lot de 20 pièces) ,20 Each of Magnet installation sous tension (Lot de 20 pièces) ,20 Each of Magnet Schneider Electric (Lot de 20 pièces) ",471.2,EUR
25464,8000016016,02/27/20,Issued,Sent via Email,false,6 Each of X5 Carnet A3 25X4FTS Analyse des Risques,260.76,EUR
25699,8000016015,02/27/20,Issued,Sent via Email,false,10 Each of Smart Backpack,448.7,EUR
25711,8000016014,02/27/20,Issued,Sent via Email,false,"36 Pair of PR GANTS HYFLEX 11840, 8",71.64,EUR
24546,8000016013,02/27/20,Issued,Sent via Email,false,1 Each of Prestation collecte & traitement DID - Location fût Décembre 2019,21,EUR
25428,8000016012,02/27/20,Issued,Sent via Email,false,"1 Each of MO180ARC12,1 Each of M87384,1 Each of Frais de port",163.52,EUR
25132,8000016011,02/27/20,Issued,Sent via Email,false,"1 Each of Boite a cle securisee, Materiau: Acier, Hauteur hors tout: 118 mm, Largeur hors tout: 83 mm",20.21,EUR
15527,8000016010,02/27/20,Issued,Sent via Email,false,1 Each of Séminaire accompagnement des équipes de Pascal Positello sur 2 demi-journées,6517,EUR
25321,8000016009,02/27/20,Issued,Sent via Email,false,1 Each of Régularisation diverses prestations,790.8,EUR
25723,8000016008,02/27/20,Issued,Sent via Email,false,"3 Each of (ST)Etiquette enlevable Avery - L4743REV-25 - 99,1 x 42,3 mm - blanche - par 300",81.24,EUR
25718,8000016007,02/27/20,Issued,Sent via Email,false,3 Each of Kensington MicroSaver - Cable de securit,158.58,EUR
25282,8000016006,02/27/20,Issued,Sent via Email,false,3 Each of (Grenoble) - Pause cafe ou the avec viennoiseries,9.54,EUR
25414,8000016005,02/27/20,Issued,Sent via Email,false,1 Each of A2S,93.93,EUR
25044,8000016004,02/27/20,Issued,Sent via Email,false,471 Each of TLS/TR-03/117056-TLS AGENCE ,4262.55,EUR
25046,8000016003,02/27/20,Issued,Sent via Email,false,449 Each of TLS/TR-03/117262-TLS SCES ,4063.45,EUR
24297,8000016002,02/27/20,Issued,Sent via Email,false,313 Each of TICKET-RESTAURANT-CADE-CSE-MARS,2832.65,EUR
23400,8000016001,02/27/20,Issued,Sent via Email,false,1 Each of Serveur GTB site Electropole A facturer sur le compte payeur de la   DAI N°  1100016815 ,6895.54,EUR
25696,8000016000,02/27/20,Issued,Sent via Email,false,"1 Each of (ST)Porte-parapluies triangulaire Alba - gris métal/noir,2 Each of (ST)Aimant Lyreco - rond - Ø 37 mm - blanc - lot de 3",63.31,EUR
22687,8000015999,02/27/20,Issued,Sent via Email,false,1 Each of Reportage photo Fête des Médaillés le 11 décembre 2019 au Hive,320,EUR
24205,8300015998,02/27/20,Issued,Sent via Email,false,"1 Each of Lenovo ThinkPad Thunderbolt 3 Dock Gen2,2 Each of Logitech M220 Silent - Souris - optique,1 Each of Lenovo ThinkPad Pro Docking Station - St,1 Each of Sac a dos MELBOURNE 15.6 BLACK,1 Each of Lenovo ThinkPad Professional Backpack -",735.46,EUR
20559,8000015997,02/27/20,Issued,Sent via Email,false,1 Each of QVE CID,6707,EUR
25602,8000015996,02/27/20,Issued,Sent via Email,false,"3 Package of Pile AAA Energizer Alcaline Industrielle Energizer 1.5V,5 Package of Pile bouton SR44 RS PRO, 1.55V, 11.6mm,3 Package of Pile bouton CR2032 RS PRO, 3V, 20mm,2 Package of Pile bouton CR2016 RS PRO, 3V, 20mm,1 Package of Pile bouton CR2450 RS PRO, 3V, 24.5mm",62.62,EUR
21874,8000015995,02/27/20,Issued,Sent via Email,false,1 Each of iiyama ProLite B2791HSU-B1 - ecran LED -,173.71,EUR
24406,8000015994,02/27/20,Issued,Sent via Email,false,"10 Each of (Grenoble-HP) - Brownie (la part),10 Each of (Grenoble-HP) - Pause simple",27.3,EUR
24634,8000015993,02/27/20,Issued,Sent via Email,false,1 Each of maintenance et vérification de machine spécifique,2630,EUR
24719,8000015992,02/27/20,Issued,Sent via Email,false,"3 Each of Jeu de lames, 25 mm, sans traits de rupture 10 pièces",18.78,EUR
23988,8000015991,02/27/20,Issued,Sent via Email,false,1 Each of Fret départ usine jjusqu'au lieu de destination,270.24,EUR
23168,8000015990,02/27/20,Issued,Sent via Email,false,100 Each of Commande BSM Cassette Encrage,240,EUR
24024,8000015989,02/27/20,Issued,Sent via Email,false,"1 Each of Réalisation de proto oh10467 rep 31a et 31b, devis T-0150",1060,EUR
21366,8000015988,02/27/20,Issued,Sent via Email,false,commande pour la réalision des pièces urgentes pour la découpe par M G P,20000,EUR
23111,8000015987,02/27/20,Issued,Sent via Email,false,"1 Each of Installation transformateur Dalex 1200kvA Proxima + nouveau panel de soudure,1 Each of SDI FEE",28424.34,EUR
25027,8000015986,02/27/20,Issued,Sent via Email,false,1 Each of Vérification initiale des installations électriques du nouveau magasin Switching Suivant votre devis N° 797106/200217-371786STD,301.45,EUR
19538,8000015985,02/27/20,Issued,Sent via Email,false,1 Each of MUTING LAMP,31.69,EUR
23447,8000015984,02/27/20,Issued,Sent via Email,false,1 Each of CONSERVATION ANNUELLE D UN CONTENEUR STANDARD,182.63,EUR
24178,8000015983,02/27/20,Issued,Sent via Email,false,"2 Each of Lame pour cutter, Lame largeur: 18 mm, Modele: Distributeur, Usage: Coupe, Nb de pieces: 50",24.18,EUR
23331,8000015982,02/27/20,Issued,Sent via Email,false,1 Each of Achat systéme auto pour interface GV2AF3,31500,EUR
24722,8000015981,02/27/20,Issued,Sent via Email,false,"1 Pair of PR CHAUSS SEC CHICAGO HRO S3 SRC, 40",54.32,EUR
24932,8000015980,02/27/20,Issued,Sent via Email,false,"1 Each of New tool ""all in one"" F700 HRB24144 et W21355915",26000,EUR
25074,8000015979,02/27/20,Issued,Sent via Email,false,"1 Pair of PR CHAUSS SEC TOBAGO, 42",30.41,EUR
25268,8000015978,02/27/20,Issued,Sent via Email,false,1 Each of menuiserie,190,EUR
25036,8000015977,02/27/20,Issued,Sent via Email,false,"1 Each of JABRA EVOLVE 65 MS STEREO,1 Each of JABRA SPEAK 510 MS,1 Each of Souris sans fil Logitech M325 grise,2 Each of Cable twin corporate key white",250.31,EUR
24582,8000015976,02/27/20,Issued,Sent via Email,false,1 Each of Lampe torche LED Rechargeable 450 lm,44.15,EUR
24250,8000015975,02/27/20,Issued,Sent via Email,false,1 Each of MOTOREDUCTEUR LEROY SOMER A.FONTAINE DT 173372,910,EUR
23871,8000015974,02/27/20,Issued,Sent via Email,false,50 Each of (ST)Gobelet en PLA Duni - 20 cl - compostable - transparent - paquet de 50,227,EUR
23047,8000015973,02/27/20,Issued,Sent via Email,false,"5 Each of MOUSQUETON A VIS 17MM 1018960,5 Each of MOUSQUETON ZICRAL SEMI-AUTO 1018968,5 Each of LONGE 1M 1009307,5 Each of CRAVATE ANCRAGE / STRAP 1008362",222.3,EUR
25048,8000015972,02/27/20,Issued,Sent via Email,false,"1 Each of Multimètre numérique 115 Fluke Portable, 10A c.a., 600V c.a.,1 Package of Pile 9V Panasonic Panasonic Industrial Powerline Alcaline PP3",195.19,EUR
24329,8000015971,02/27/20,Issued,Sent via Email,false,"1 Each of Lenovo ThinkPad Pro Docking Station - St,1 Each of LaCie USB 3.0 Drive STHY1000800 - Disque,1 Each of StarTech.com Adaptateur Video Mini Displ,3 Each of VM1000 Adaptateur video, mini DisplayP,1 Each of Ensemble clavier/souris Logitech MK330,1 Each of Moniteur B2483HSU-B5 Prolite 24 (61cm)",557.28,EUR
22414,8000015970,02/27/20,Issued,Sent via Email,false,1 Each of Réhausses chariot extraction disjoncteurs PIX,480,EUR
25425,8000015969,02/27/20,Issued,Sent via Email,false,11 Each of MiniSaver Mobile Lock,577.39,EUR
25040,8000015968,02/27/20,Issued,Sent via Email,false,"1 Pair of PR CHAUSS EXALTER JALAS 9538 EASY RO, 42,1 Pair of PR CHAUSS EXALTER JALAS 9538 EASY RO, 44",178.66,EUR
25346,8000015967,02/27/20,Issued,Sent via Email,false,1 Each of Commande XLCT 11X100C  support profilé N°offre 1902,50.71,EUR
22861,8000015966,02/27/20,Issued,Sent via Email,false,1 Each of Prestation métrologie - Europe Qualité,3690,EUR
23923,8000015965,02/27/20,Issued,Sent via Email,false,"1 Each of REGUL FACT REPAS FORMATION 08 2019,1 Each of SDI FEE",133.65,EUR
23691,8000015964,02/27/20,Issued,Sent via Email,false,"5 Each of Connecteur 8 contacts, série M12, Montage sur câble, raccordement IDC",237.83,EUR
22594,8000015963,02/27/20,Issued,Sent via Email,false,"1 Each of Lease - 10% cde des panneaux Suivant Contrat EPC PV Agriers U1 -MD-19-07-192,1 Each of Lease - 10% obtention du permis de construire,1 Each of Lease - 15% montage structure,1 Each of Lease - 15% travaux électriques,1 Each of Lease - 10% réception,1 Each of Lease - 5% levée des réserves",425052.55,EUR
25749,8000015962,02/27/20,Issued,Sent via Email,false,20 Each of Antivol K-Lock pour pc portable avec pas,188.2,EUR
25431,8000015961,02/27/20,Issued,Sent via Email,false,"1 Each of Chariot pliant Clax, Force: 60 kg, Hauteur hors tout: 1030 mm, Largeur hors tout: 550 mm",157.85,EUR
11040,8000015960,02/27/20,Issued,Sent via Email,false,1 Each of generic - Cordon de raccordement - RJ-45,79.85,EUR
25256,8000015959,02/27/20,Issued,Sent via Email,false,10 Each of (ST)Gel hydro-alcoolique Purell - flacon pompe de 350 ml,83,EUR
21905,8000015958,02/27/20,Issued,Sent via Email,false,1 Each of 20 ROSES + OURSON 15CM,43.02,EUR
17767,8000015957,02/27/20,Issued,Sent via Email,false,"1 Each of PAPS Request : ALLIANCE HIGH TECH,9,450 Each of PAPS Request : ALLIANCE HIGH TECH,9,450 Each of PAPS Request : ALLIANCE HIGH TECH",28350,EUR
25625,8000015956,02/27/20,Issued,Sent via Email,false,"7,980 Each of PAPS Request : ALLIANCE HIGH TECH,7,980 Each of PAPS Request : ALLIANCE HIGH TECH,7,980 Each of PAPS Request : ALLIANCE HIGH TECH",23940,EUR
25618,8000015955,02/27/20,Issued,Sent via Email,false,"8,400 Each of PAPS Request : ALLIANCE HIGH TECH,8,400 Each of PAPS Request : ALLIANCE HIGH TECH,8,400 Each of PAPS Request : ALLIANCE HIGH TECH",25200,EUR
24386,8000015954,02/27/20,Issued,Sent via Email,false,20 Each of Pau/TR-03/117053-Pau Commerce ,181,EUR
25042,8000015953,02/27/20,Issued,Sent via Email,false,20 Each of Pau/TR-03/117260-PAU SCES ,181,EUR
24816,8000015952,02/27/20,Issued,Sent via Email,false,"1 Bag of Boulon traversant RS PRO 10 x 150mm, 12mm x 150mm",11.17,EUR
23863,8000015951,02/27/20,Issued,Sent via Email,false,1 Each of Remplacement lames rideaux métallique suite à choc,942,EUR
21529,8000015950,02/27/20,Issued,Sent via Email,false,1 Each of reprise en usinage d'un guide feuillard plan N° 1670700 ,150,EUR
25558,8000015949,02/27/20,Issued,Sent via Email,false,1 Each of Certification UL,858.24,EUR
25125,8000015948,02/27/20,Issued,Sent via Email,false,1 Each of Prestation métrologie - Europe Qualité,59.97,EUR
23250,8000015947,02/27/20,Issued,Sent via Email,false,"15 Box of (BOX)Cintre Alba - plastique,1 Each of (ST)Plaque de porte - Vestiaires Hommes - 170 x 50 mm - alu brossé,1 Each of (ST)Pictogramme rond Durable - toilettes hommes - métal,1 Each of (ST)Pictogramme carré Durable - toilettes handicapés - métal",258.44,EUR
25620,8000015946,02/27/20,Issued,Sent via Email,false,"1 Each of Edimax Gigabit Ethernet Adapter,6 Each of Cordon, Sub-D 9 broches femelle vers Sub-D 9 broches mâle, longueur 3m, 7 voies,1 Each of Câble USB Roline Type USB 2.0 Noir, USB B mâle vers USB A mâle, longueur 4.5m",43.76,EUR
25619,8000015945,02/27/20,Issued,Sent via Email,false,"1 Each of Câble assemblé, USB vers série, 100mm",13.06,EUR
25016,8000015944,02/27/20,Issued,Sent via Email,false,"1 Each of (ST)Notes Post-it - 51 x 38 mm - jaunes - 12 blocs x 100 feuilles,2 Each of (ST)Sucre en poudre - carton de 500 bûchettes,1 Each of (ST)Dévidoir lesté Scotch C18 - menthe + ruban Scotch Magic 880 - 19 mm x 33 m,2 Each of (ST)Recharge paperboard Exacompta - uni - 98 x 65 cm - 5 x 48 feuilles",52.93,EUR
19561,8000015943,02/27/20,Issued,Sent via Email,false,1 Each of Corrections d'erreurs sur deux pages suivant devis.,240,EUR
25303,8300015942,02/27/20,Issued,Sent via Email,false,1 Lump Sum of Travel Expenses-0220-SCP-TA_CTR_002985_01_29,1834,EUR
25640,8000015941,02/27/20,Issued,Sent via Email,false,"8 Each of Masque d’hygiene MASQUG, Materiau: Polypropylene, Coloris: Vert, Nb de plis: 3, Nb de pieces: 50",39.12,EUR
25652,8300015940,02/27/20,Issued,Sent via Email,false,27 Day of CO04-2020-WO-CAP-2019-00872-FRA-KSR000005731869-AMOA EDI 2019-MDX,13632.3,EUR
25650,8300015939,02/27/20,Issued,Sent via Email,false,27 Day of CO04-2020-WO-CAP-2019-00874-FRA-KSR000005731926-AMOA EDI 2019-AAD,13632.3,EUR
25245,8000015938,02/27/20,Issued,Sent via Email,false,1 Each of archivage,100.66,EUR
25345,8300015937,02/27/20,Issued,Sent via Email,false,27 Day of CO04-2020-WO-CAP-2019-00871-FRA-KSR000005731837-AMOA EDI 2019-TLG,13632.3,EUR
